id,original,modern,sentiment
34,"Bir azacıq da gözətləyim, əgər gəlməsə, çarə yoxdur, gərək alaçığa qayıdam.","Bir az da gözləyim, əgər gəlməsə, çarə yoxdur, alaçığa qayıdım.",
35,"Xeyir, gəlmir!","Yox, gəlmir.",
36,"Yəqin ki, dəxi gəlməz.","Yəqin ki, artıq gəlməyəcək.",
37,"Şəkk yoxdur ki, gəlməyəcək!","Şübhə yoxdur, bu gecə də gəlməyəcək.",
38,"Görəsən genə hansı dəli qudurmuşa rast gəldi, tovlayıb at, mal oğurluğuna götürüb getdi.","Görəsən yenə hansı dəli ilə rastlaşıb, aldadılıb at və mal oğurluğuna gedib?",
39,Yoxsa bu vaxtadək gərək idi gələydi.,Yoxsa bu vaxta qədər çoxdan gəlməli idi.,
40,Öhdəsindən gələ bilmirəm.,Mən bunun öhdəsindən gələ bilmirəm.,
41,"Əgər bu səfər də tanıyalar, gərək genə təzədən qaçaq ola, mənim günümü qara edə.","Əgər bu dəfə də onu tanısalar, yenə qaçaq düşəcək və mənim həyatımı zəhər edəcək.",
42,Genə iki il evdə məni dustaq eyliyə.,Yenə iki il məni evdə dustaq saxlayacaq.,
43,"Vallah, dəxi gözləmənəm!","Yox, vallah, daha gözləməyəcəyəm.",
44,"Onun fikri budur ki, atam evində mənim birçəyimi ağarda.","Onun fikri budur ki, atam evində mənim saçımı ağartsın.",
45,"Eh, nə vəsvəsələr gəlir könlümə!","Eh, könlümdən nə fikirlər keçir.",
46,"Şəksiz, yubanmağına başqa səbəb var.","Şübhəsiz, gecikməsinin başqa səbəbi var.",
47,"Ax, indi bu kolun dalında qulaq asıb eşidəydi ki, mən deyirəm: gedərəm özgəsinə.","Kaş indi bu kolun arxasında dayanıb eşidəydi ki, mən deyirəm, gedərəm başqasına.",
48,Görəsən inanardımı?,Görəsən inanardımı?,
49,"Əlbəttə inanmayacaqdır, çünki bilir, yalan deyirəm.","Əlbəttə ki, inanmazdı, çünki bilir ki, yalan danışıram.",
50,"Hövsələm daralıb, ağzıma gələni söyləyirəm.",Hirslənmişəm və ağlıma gələni deyirəm.,
51,"Bıy, şıqqıltı gəlir.","Ay, bir səs gəlir.",
