comment_text,like_count,reply_count,emojis
"sanaram dünya mənimdir,gözünə gözüm dəyəndə...",1,0,
Allah rəhmət eləsin.Görəsən belə bir səs bir də olacaqmı? Çətin.Mahnının sözləri də əla.,29,0,
Normalda Azerbaycan mahnıları sevmərəm helə indikiləri heç amma bu ve bunun kimi bəzi mahnılar var ki çox sevirəmdə,7,0,😍
Yeni nəsillər qiymətini bilməz ,0,0,😢
Allah rəhmət eləsin,2,0,
"1971 ci il, son zəng.",1,0,
Mükənməll allah rəhmət etsin,1,0,
"Allah rəhmət etsin uşaqlığımızın,gəncliyimızin xanım-xatun, doğma səsli müğənnimizə.",3,0,
"Şövkət Ələkbərova, İbrahim Topçubaşov, Ənvər Əlibəyli.",1,1,👏
Ən gözəl mahnı ,2,0,😊❤
AZƏRBAYCANIN MƏDƏNİYYƏTİNƏ EŞQ  OLSUN. USTADLARA RƏHMƏT. NƏ GÖZƏL  XALQIMIZ VAR. MAŞALLAH,1,0,
Olduqca möhtəşəm,2,0,❤❤❤
Əsla,1,1,
"Könüldən ifa hiss edilir, indiki mahnılar kimi yapmacığ deyil",0,0,🩵
Allah rəhmət eləsin məkan cənnət olsun  gözəl musiqidir rəhmətlik gözəl ifa edir,4,0,
"Ruhumuz qidalandi,Allah rəhmət eləsin.",3,0,
Bu səsi musiqi duyumu olanlar başa düşər,36,3,😊
Retro ifaların yerini heç nə verə bilməz. Çünki keçmişin xatirələrini özündə əks etdirir.,1,0,
Ela,3,0,❤❤❤❤
ən sevdiyim mahnıların biriii,2,0,😅❤❤❤❤🎉🎉
Gözəl mahnı,1,0,
Azərbaycan musiqilərindən sadəcə bu musqini sevirəm ,0,0,❤
Bir söz ilə: İdeal ifa!!!,1,0,
Ən gözəl mahnı bir ölsün bax iki ölsün bax yadan çıxmas,0,0,
Çox qəşəqdi mahnı,1,0,😊😊
"""Sənə mən yarim deyəndə""))",0,0,❤
Əla,0,0,❤
Gör nə gözəl oxuyub,0,0,
"Bəh Bəh əlimdə isti çay, çöldə -10 dərəcə...mən də oturmuşam bu səsi dinləyirəm...",0,0,🥰☕️
Çox gözəldi,1,0,❤❤❤
Allahıma qurban olum bələ gözəl sesli insanlar yaradir,2,0,
Əla,1,0,
Retro musiqiler bir ayrı zövq verir mənə həmdə pozitivlik yüklənir möhtəşəm,6,0,🫠
Sevilirsiz dəyərli şəxsiyyət...,1,0,
Ayda comment yazmamışam e nə uzun vaxtdı dinləyirəm.,0,0,❤
Nə gözəl oxuyur,0,0,
Beh beh.En çox dinlədiyim əsər.Səni mən yaman sevirəm urəkdən candan sevirəm,6,0,😇
Çox gözəl səsi var,0,0,😊🥰❤
Necə gözəl nəğmədir,17,0,😍🥰😌
Bu qədər gözəl oxuyan görməmişdim,0,0,
Gözəl mahnıdı,0,0,❤
Şövkətim sən həmişə ürəyimdəsən  İllər keçib yoxsan amma  heç bir zaman unudulmayacaksan Məkanın cənnət olsun gözəl kadın,62,0,
Çox gözəldi axıı,5,0,🫠🫶
Maaşallah,3,0,
Çox gözəl,2,0,
Kaş köhnə vaxlara qayıtsaq... bu mahnı elə gözəl və sakitdiki...,0,0,
Çox tələsərək ifa edir gitara.Birdəki Vaqifin xüsusi xırdalıqlarını eləsəydiniz əla olardı,0,0,
Super ifa.,0,0,
Çox gözəl səsi var,2,0,❤❤❤
Bəyəndim səsinə qurban,0,0,🫶
Mahnı çox gözəldir,0,0,
Əla,1,0,❤❤❤
səni mən yaman sevirəm,0,0, 😅
Səs adamı məst eliyir,0,0,
Cannn,2,0,❤❤❤😢
Bir sözlə mükəmməl,1,0,❤
2 il öncə mən bu mahnini su kimi bilirdim,0,0,
Bravo,1,0,❤
Çox gözəl oxuyur ,1,0,❤❤❤❤❤😊😊😊😊
Çox sağolun,0,0,
Möhtəşəmm,5,0,❤
Bü qara dünya mənimdə,0,0,😢
Çok gözəl səsiniz var,18,0,
"çok gözəl bir səs, və çox gözəl bir mahnı.",8,0,
